time (seconds); nrOfGames; discountFactor; exploreProbability; learningRate; result; score; 
1292093810; 983; 0.990000; 0.010000; 0.200000; "LOST"; 0.000000; 
1292093814; 984; 0.990000; 0.010000; 0.200000; "LOST"; -0.100000; 
1292093817; 985; 0.990000; 0.010000; 0.200000; "LOST"; -0.100000; 
1292093821; 986; 0.990000; 0.010000; 0.200000; "WON"; 0.100000; 
1292093824; 987; 0.990000; 0.010000; 0.200000; "LOST"; -0.250000; 
1292093828; 988; 0.990000; 0.010000; 0.200000; "WON"; 0.100000; 
1292093831; 989; 0.990000; 0.010000; 0.200000; "WON"; 0.100000; 
1292094195; 1090; 0.990000; 0.010000; 0.200000; "WON"; 0.100000; 
1292094198; 1091; 0.990000; 0.010000; 0.200000; "LOST"; -0.100000; 
1292094202; 1092; 0.990000; 0.010000; 0.200000; "WON"; 0.100000; 
1292094205; 1093; 0.990000; 0.010000; 0.200000; "WON"; 0.100000; 
1292094209; 1094; 0.990000; 0.010000; 0.200000; "LOST"; -0.100000; 
1292094212; 1095; 0.990000; 0.010000; 0.200000; "LOST"; -0.100000; 
1292094216; 1096; 0.990000; 0.010000; 0.200000; "WON"; 0.100000; 
1292094219; 1097; 0.990000; 0.010000; 0.200000; "WON"; 0.100000; 
1292094223; 1098; 0.990000; 0.010000; 0.200000; "LOST"; 0.000000; 
1292094226; 1099; 0.990000; 0.010000; 0.200000; "WON"; 0.100000; 
1292094741; 1200; 0.990000; 0.010000; 0.200000; "LOST"; -0.100000; 
1292094745; 1201; 0.990000; 0.010000; 0.200000; "WON"; 0.100000; 
1292094748; 1202; 0.990000; 0.010000; 0.200000; "WON"; 0.100000; 
1292094752; 1203; 0.990000; 0.010000; 0.200000; "LOST"; -0.100000; 
1292094755; 1204; 0.990000; 0.010000; 0.200000; "LOST"; 0.000000; 
1292094759; 1205; 0.990000; 0.010000; 0.200000; "LOST"; -0.100000; 
1292094763; 1206; 0.990000; 0.010000; 0.200000; "WON"; 0.100000; 
1292094766; 1207; 0.990000; 0.010000; 0.200000; "WON"; 0.100000; 
1292094770; 1208; 0.990000; 0.010000; 0.200000; "WON"; 0.100000; 
1292094773; 1209; 0.990000; 0.010000; 0.200000; "WON"; 0.100000; 
1292095137; 1310; 0.990000; 0.010000; 0.200000; "WON"; 0.100000; 
