time (seconds); Text; 
1292090598; "   90,  0.99;  0.01;  0.20; LOST  -0.10"; 
1292090602; "   91,  0.99;  0.01;  0.20; LOST  -0.10"; 
1292090605; "   92,  0.99;  0.01;  0.20; WON   0.10"; 
1292090609; "   93,  0.99;  0.01;  0.20; WON   0.10"; 
1292090612; "   94,  0.99;  0.01;  0.20; WON   0.10"; 
1292090616; "   95,  0.99;  0.01;  0.20; LOST  -0.10"; 
1292090619; "   96,  0.99;  0.01;  0.20; LOST  -0.10"; 
1292090623; "   97,  0.99;  0.01;  0.20; LOST  -0.10"; 
1292090626; "   98,  0.99;  0.01;  0.20; WON   0.10"; 
1292090630; "   99,  0.99;  0.01;  0.20; WON   0.10"; 
1292090633; "  100,  0.99;  0.01;  0.20; WON   0.10"; 
1292090637; "  101,  0.99;  0.01;  0.20; WON   0.10"; 
1292090640; "  102,  0.99;  0.01;  0.20; WON   0.10"; 
1292090644; "  103,  0.99;  0.01;  0.20; LOST   0.00"; 
1292090648; "  104,  0.99;  0.01;  0.20; LOST  -0.25"; 
1292090651; "  105,  0.99;  0.01;  0.20; WON   0.10"; 
1292090654; "  106,  0.99;  0.01;  0.20; LOST  -0.10"; 
1292090658; "  107,  0.99;  0.01;  0.20; WON   0.10"; 
1292090662; "  108,  0.99;  0.01;  0.20; WON   0.10"; 
1292090665; "  109,  0.99;  0.01;  0.20; WON   0.10"; 
1292090669; "  110,  0.99;  0.01;  0.20; WON   0.10"; 
1292090672; "  111,  0.99;  0.01;  0.20; LOST  -0.10"; 
1292090675; "  112,  0.99;  0.01;  0.20; LOST  -0.10"; 
1292090679; "  113,  0.99;  0.01;  0.20; LOST  -0.25"; 
1292090683; "  114,  0.99;  0.01;  0.20; LOST  -0.10"; 
1292090686; "  115,  0.99;  0.01;  0.20; WON   0.10"; 
1292090690; "  116,  0.99;  0.01;  0.20; WON   0.10"; 
1292090693; "  117,  0.99;  0.01;  0.20; LOST   0.00"; 
1292090697; "  118,  0.99;  0.01;  0.20; LOST  -0.10"; 
1292090700; "  119,  0.99;  0.01;  0.20; WON   0.10"; 
1292090704; "  120,  0.99;  0.01;  0.20; LOST  -0.10"; 
1292090707; "  121,  0.99;  0.01;  0.20; WON   0.10"; 
1292090711; "  122,  0.99;  0.01;  0.20; LOST  -0.25"; 
1292090714; "  123,  0.99;  0.01;  0.20; WON   0.10"; 
1292090718; "  124,  0.99;  0.01;  0.20; LOST  -0.10"; 
1292090721; "  125,  0.99;  0.01;  0.20; LOST  -0.10"; 
1292090725; "  126,  0.99;  0.01;  0.20; LOST  -0.10"; 
1292090729; "  127,  0.99;  0.01;  0.20; LOST   0.00"; 
1292090734; "  128,  0.99;  0.01;  0.20; LOST  -0.70"; 
1292090737; "  129,  0.99;  0.01;  0.20; LOST  -0.10"; 
1292090741; "  130,  0.99;  0.01;  0.20; LOST  -0.10"; 
1292090745; "  131,  0.99;  0.01;  0.20; LOST  -0.40"; 
1292090749; "  132,  0.99;  0.01;  0.20; WON   0.10"; 
1292090753; "  133,  0.99;  0.01;  0.20; LOST  -0.10"; 
1292090756; "  134,  0.99;  0.01;  0.20; LOST  -0.10"; 
1292090760; "  135,  0.99;  0.01;  0.20; WON   0.10"; 
1292090763; "  136,  0.99;  0.01;  0.20; LOST  -0.25"; 
1292090767; "  137,  0.99;  0.01;  0.20; LOST  -0.10"; 
1292090770; "  138,  0.99;  0.01;  0.20; WON   0.10"; 
1292090774; "  139,  0.99;  0.01;  0.20; WON   0.10"; 
1292090777; "  140,  0.99;  0.01;  0.20; WON   0.10"; 
1292090782; "  141,  0.99;  0.01;  0.20; LOST  -0.10"; 
1292090785; "  142,  0.99;  0.01;  0.20; WON   0.10"; 
1292090789; "  143,  0.99;  0.01;  0.20; LOST  -0.10"; 
1292090792; "  144,  0.99;  0.01;  0.20; WON   0.10"; 
1292090796; "  145,  0.99;  0.01;  0.20; LOST  -0.10"; 
1292090800; "  146,  0.99;  0.01;  0.20; LOST   0.00"; 
1292090804; "  147,  0.99;  0.01;  0.20; LOST  -0.10"; 
1292090807; "  148,  0.99;  0.01;  0.20; LOST  -0.10"; 
1292090812; "  149,  0.99;  0.01;  0.20; LOST  -0.40"; 
1292090816; "  150,  0.99;  0.01;  0.20; LOST  -0.10"; 
1292090819; "  151,  0.99;  0.01;  0.20; LOST  -0.10"; 
1292090823; "  152,  0.99;  0.01;  0.20; WON   0.10"; 
1292090827; "  153,  0.99;  0.01;  0.20; LOST  -0.10"; 
1292090831; "  154,  0.99;  0.01;  0.20; LOST  -0.10"; 
1292090834; "  155,  0.99;  0.01;  0.20; LOST  -0.10"; 
1292090840; "  156,  0.99;  0.01;  0.20; LOST  -0.85"; 
1292090843; "  157,  0.99;  0.01;  0.20; LOST  -0.10"; 
1292090847; "  158,  0.99;  0.01;  0.20; WON   0.10"; 
1292090851; "  159,  0.99;  0.01;  0.20; WON   0.10"; 
1292090854; "  160,  0.99;  0.01;  0.20; WON   0.10"; 
1292090858; "  161,  0.99;  0.01;  0.20; WON   0.10"; 
1292090862; "  162,  0.99;  0.01;  0.20; WON   0.10"; 
1292090866; "  163,  0.99;  0.01;  0.20; WON   0.10"; 
1292090869; "  164,  0.99;  0.01;  0.20; WON   0.10"; 
1292090873; "  165,  0.99;  0.01;  0.20; WON   0.10"; 
1292090877; "  166,  0.99;  0.01;  0.20; LOST  -0.10"; 
1292090880; "  167,  0.99;  0.01;  0.20; LOST  -0.10"; 
1292090884; "  168,  0.99;  0.01;  0.20; LOST  -0.25"; 
1292090888; "  169,  0.99;  0.01;  0.20; LOST  -0.10"; 
1292090891; "  170,  0.99;  0.01;  0.20; LOST  -0.10"; 
1292090895; "  171,  0.99;  0.01;  0.20; WON   0.10"; 
1292090898; "  172,  0.99;  0.01;  0.20; LOST  -0.10"; 
1292090902; "  173,  0.99;  0.01;  0.20; LOST  -0.25"; 
1292090905; "  174,  0.99;  0.01;  0.20; WON   0.10"; 
1292090909; "  175,  0.99;  0.01;  0.20; LOST  -0.10"; 
1292090913; "  176,  0.99;  0.01;  0.20; WON   0.10"; 
1292090916; "  177,  0.99;  0.01;  0.20; WON   0.10"; 
1292090920; "  178,  0.99;  0.01;  0.20; LOST  -0.40"; 
1292090923; "  179,  0.99;  0.01;  0.20; LOST  -0.10"; 
1292090927; "  180,  0.99;  0.01;  0.20; LOST  -0.10"; 
1292090932; "  181,  0.99;  0.01;  0.20; LOST  -0.10"; 
1292090935; "  182,  0.99;  0.01;  0.20; LOST  -0.10"; 
1292090940; "  183,  0.99;  0.01;  0.20; LOST  -1.00"; 
1292090944; "  184,  0.99;  0.01;  0.20; LOST  -0.10"; 
1292090947; "  185,  0.99;  0.01;  0.20; LOST  -0.10"; 
1292090951; "  186,  0.99;  0.01;  0.20; LOST  -0.10"; 
1292090954; "  187,  0.99;  0.01;  0.20; WON   0.10"; 
1292090958; "  188,  0.99;  0.01;  0.20; WON   0.10"; 
1292090961; "  189,  0.99;  0.01;  0.20; LOST  -0.10"; 
1292090965; "  190,  0.99;  0.01;  0.20; WON   0.10"; 
1292090968; "  191,  0.99;  0.01;  0.20; LOST  -0.10"; 
1292090972; "  192,  0.99;  0.01;  0.20; LOST  -0.10"; 
1292090975; "  193,  0.99;  0.01;  0.20; WON   0.10"; 
1292090979; "  194,  0.99;  0.01;  0.20; WON   0.10"; 
1292090982; "  195,  0.99;  0.01;  0.20; WON   0.10"; 
1292090986; "  196,  0.99;  0.01;  0.20; WON   0.10"; 
1292090990; "  197,  0.99;  0.01;  0.20; WON   0.10"; 
1292090993; "  198,  0.99;  0.01;  0.20; LOST  -0.10"; 
1292090997; "  199,  0.99;  0.01;  0.20; LOST  -0.25"; 
