-0.33055;-1.56999;0.31378;-0.658742;0.697905;-0.61655;0.84094;0.585131;0.275292;-0.38098;0.2973;-0.222312;1.11064;1.40019;-0.57073;10;0;W|W|W|W|W|W|W|W|W|W|;
-1.33055;-1.81999;-0.68622;0.091258;2.44791;-0.61655;-0.40906;-0.16487;0.27529;1.11902;1.5473;-2.22231;1.36064;2.15019;-2.32073;8;0;W|W|W|W|L|W|W|W|W|W|;
-0.33055;-1.06999;-0.68622;-0.408742;3.94791;1.38345;-2.65906;1.08513;0.77529;0.61902;2.0473;-1.72231;1.61064;0.65019;-1.82073;-6;0;L|L|W|L|L|L|L|L|L|W|;
-0.08055;-0.56999;0.81378;-0.90874;1.19791;-0.61655;-0.40906;-1.16487;1.27529;1.86902;0.7973;-2.72231;0.61064;2.65019;-2.32073;5;-3;W|W|W|W|W|W|L|;
-0.33055;-1.06999;-0.18622;-0.408742;2.44791;-1.11655;-0.15906;-0.16487;-0.22471;1.36902;1.2973;-2.22231;1.61064;2.15019;-2.32073;-10001;-10;W|W|W|W|W|W|W|L|L|L|;
-0.83055;-2.06999;-1.18622;0.091258;2.19791;-0.11655;-0.40906;0.08513;0.52529;0.61902;1.5473;-1.97231;1.86064;1.90019;-1.82073;-10001;-10;W|W|L|L|W|W|W|W|L|W|;
-0.54869;-1.81999;1.31378;-0.408742;1.44791;-0.36655;0.59094;1.08513;0.525292;0.11902;0.7973;0.527688;0.86064;1.65019;-0.32073;0;0;W|W|W|L|L|L|L|L|W|W|;
-0.79869;-1.81999;1.06378;1.09126;2.19791;-1.11655;-2.40906;0.83513;0.52529;0.11902;0.7973;-1.72231;1.61064;2.15019;-2.07073;-10001;-10;W|L|L|W|L|W|L|W|L|W|;
-0.08055;-1.31999;0.56378;-0.408742;0.447905;-0.86655;1.09094;0.835131;0.275292;-0.63098;1.7973;-1.97231;1.11064;1.90019;-2.07073;-10001;-10;;
-1.33055;-2.06999;-0.93622;0.341258;2.19791;-0.61655;-0.15906;-0.16487;0.52529;1.11902;0.2973;0.027688;1.36064;1.40019;-0.82073;-10001;-10;;
