1292304491; WON;0,100000; 
1292304494; WON;0,250000; 
1292304498; WON;0,100000; 
1292304501; LOST;-0,100000; 
1292304504; LOST;-0,100000; 
1292304507; WON;0,100000; 
1292304510; WON;0,100000; 
1292304514; WON;0,100000; 
1292304517; LOST;-0,100000; 
1292304520; LOST;0,000000; 
1292304523; WON;0,100000; 
1292304526; LOST;-0,100000; 
1292304529; WON;0,100000; 
1292304533; WON;0,100000; 
1292304536; LOST;-0,100000; 
1292304539; LOST;0,000000; 
1292304543; WON;0,100000; 
1292304546; LOST;-0,100000; 
1292304549; WON;0,100000; 
1292304552; WON;0,100000; 
1292304556; LOST;-0,250000; 
1292304559; WON;0,100000; 
1292304562; LOST;-0,100000; 
1292304565; LOST;0,000000; 
1292304569; WON;0,100000; 
1292304572; LOST;-0,100000; 
1292304575; LOST;0,000000; 
1292304578; LOST;-0,100000; 
1292304582; WON;0,100000; 
1292304585; WON;0,100000; 
1292304588; LOST;-0,100000; 
1292304592; WON;0,100000; 
1292304595; WON;0,100000; 
1292304598; WON;0,100000; 
1292304601; LOST;0,000000; 
1292304605; LOST;-0,100000; 
1292304608; LOST;-0,100000; 
1292304611; WON;0,100000; 
1292304615; LOST;-0,100000; 
1292304618; LOST;-0,100000; 
1292304621; WON;0,100000; 
1292304624; LOST;-0,100000; 
1292304627; WON;0,100000; 
1292304630; WON;0,100000; 
1292304633; LOST;-0,100000; 
1292304637; LOST;-0,100000; 
1292304640; WON;0,100000; 
1292304643; WON;0,100000; 
1292304646; WON;0,100000; 
1292304649; WON;0,100000; 
1292304652; LOST;-0,100000; 
1292304655; WON;0,100000; 
1292304658; WON;0,100000; 
1292304661; LOST;-0,100000; 
1292304664; LOST;-0,100000; 
1292304668; LOST;-0,100000; 
1292304671; LOST;-0,100000; 
1292304674; WON;0,100000; 
1292304677; LOST;-0,100000; 
1292304680; LOST;-0,100000; 
1292304683; WON;0,100000; 
1292304686; WON;0,250000; 
1292304689; WON;0,100000; 
1292304693; LOST;-0,100000; 
1292304696; WON;0,100000; 
1292304699; WON;0,100000; 
1292304702; LOST;0,000000; 
1292304705; WON;0,100000; 
1292304708; LOST;-0,100000; 
1292304711; LOST;-0,100000; 
1292304714; WON;0,100000; 
1292304717; WON;0,100000; 
1292304721; LOST;-0,100000; 
1292304724; LOST;-0,100000; 
1292304728; WON;0,100000; 
1292304731; WON;0,100000; 
1292304734; WON;0,100000; 
1292304737; LOST;-0,100000; 
1292304740; LOST;-0,100000; 
1292304743; WON;0,100000; 
1292304747; WON;0,100000; 
1292304750; LOST;-0,100000; 
1292304753; LOST;-0,100000; 
1292304756; WON;0,100000; 
1292304759; WON;0,100000; 
1292304762; WON;0,250000; 
1292304765; LOST;-0,100000; 
1292304769; LOST;-0,100000; 
1292304772; LOST;-0,100000; 
1292304776; WON;0,100000; 
1292304779; WON;0,100000; 
1292304783; LOST;-0,100000; 
1292304786; WON;0,100000; 
1292304789; WON;0,100000; 
1292304792; LOST;-0,100000; 
1292304795; WON;0,100000; 
1292304798; WON;0,100000; 
1292304801; WON;0,100000; 
1292304804; LOST;-0,100000; 
1292304807; LOST;-0,100000; 
