1292014379; 875; "  875,  0.99;  0.01;  0.20; LOST  -0.25"; 
1292014383; 876; "  876,  0.99;  0.01;  0.20; WON   0.10"; 
1292014387; 877; "  877,  0.99;  0.01;  0.20; LOST  -1.00"; 
1292014391; 878; "  878,  0.99;  0.01;  0.20; LOST  -0.40"; 
1292014396; 879; "  879,  0.99;  0.01;  0.20; LOST  -1.00"; 
1292014813; 980; "  980,  0.99;  0.01;  0.20; LOST  -0.10"; 
1292014818; 981; "  981,  0.99;  0.01;  0.20; LOST  -0.10"; 
1292014823; 982; "  982,  0.99;  0.01;  0.20; LOST  -1.00"; 
1292014829; 983; "  983,  0.99;  0.01;  0.20; LOST  -1.00"; 
1292014832; 984; "  984,  0.99;  0.01;  0.20; LOST   0.00"; 
1292014837; 985; "  985,  0.99;  0.01;  0.20; LOST  -0.85"; 
1292014840; 986; "  986,  0.99;  0.01;  0.20; WON   0.10"; 
1292014844; 987; "  987,  0.99;  0.01;  0.20; WON   0.10"; 
1292014847; 988; "  988,  0.99;  0.01;  0.20; WON   0.10"; 
1292014852; 989; "  989,  0.99;  0.01;  0.20; LOST  -0.85"; 
1292018108; 1750; " 1750,  0.99;  0.01;  0.20; LOST  -1.00"; 
1292018113; 1751; " 1751,  0.99;  0.01;  0.20; LOST  -0.85"; 
1292018118; 1752; " 1752,  0.99;  0.01;  0.20; LOST  -1.00"; 
1292018123; 1753; " 1753,  0.99;  0.01;  0.20; LOST  -0.85"; 
1292018126; 1754; " 1754,  0.99;  0.01;  0.20; WON   0.10"; 
1292018130; 1755; " 1755,  0.99;  0.01;  0.20; LOST  -0.70"; 
1292018134; 1756; " 1756,  0.99;  0.01;  0.20; LOST  -0.10"; 
1292018140; 1757; " 1757,  0.99;  0.01;  0.20; LOST  -1.00"; 
1292018145; 1758; " 1758,  0.99;  0.01;  0.20; LOST  -0.85"; 
1292018154; 1759; " 1759,  0.99;  0.01;  0.20; LOST  -1.00"; 
1292018583; 1860; " 1860,  0.99;  0.01;  0.20; LOST  -0.85"; 
1292018587; 1861; " 1861,  0.99;  0.01;  0.20; WON   0.25"; 
1292018592; 1862; " 1862,  0.99;  0.01;  0.20; LOST  -0.70"; 
1292018596; 1863; " 1863,  0.99;  0.01;  0.20; LOST  -0.10"; 
