-10;-7,6;4;64,3457;73,7716;
-10;-4,7;6;64,0333;47,9484;
-10;-3;6;65,2373;37,7371;
-10;0,1;6;65,2373;37,7371;
-10;0,4;6;65,2373;49,0413;
-10;0,6;8;48,8432;49,0413;
-10;1,3;8;48,8432;49,0413;
-10;2,2;8;53,6748;61,4146;
-8;1,9;8;53,6748;74,196;
-10;0,8;8;53,6748;74,196;
-8;1,7;8;53,6748;74,196;
-6;2,3;8;53,6748;74,196;
-10;0,9;8;53,6748;62,6252;
-10;1,2;8;53,6748;74,196;
-2;2;8;53,6748;74,196;
-10;2,6;8;53,6748;74,196;
-6;2,9;8;53,6748;23,25;
-6;1,9;8;53,6748;23,25;
-10;1,2;8;53,6748;23,25;
-4;2,4;8;53,6748;23,25;
-2;2,9;8;53,6748;30,5;
-10;1,8;8;53,6748;66,0481;
-4;1,9;8;53,6748;57,4247;
-2;2,4;8;53,6748;61,6595;
-4;2,9;8;53,6748;61,6595;
-4;2,3;8;53,6748;61,6595;
-10;0,9;8;53,6748;61,6595;
-2;3,3;8;53,6748;61,6595;
-4;3;8;53,6748;61,6595;
-6;1,7;8;53,6748;61,6595;
-4;2,8;8;53,6748;61,6595;
-10;1,4;8;59,1192;68,9095;
-10;0,7;8;35,25;91,0695;
-10;0,7;8;35,25;71,9701;
-6;1,7;8;35,25;71,9701;
-10;1,2;8;35,25;71,9701;
-10;1,4;8;35,25;71,9701;
-6;2,5;8;35,25;71,9701;
-10;1;8;35,25;71,9701;
-10;0,3;8;35,25;71,9701;
-2;2,4;8;35,25;71,9701;
-10;2,9;8;35,25;71,9701;
-6;2,2;10;51,25;35,25;
-6;2;10;51,25;35,25;
-6;3;10;51,25;35,25;
