time (seconds); Text; 
1292017671; "   90,  0.99;  0.01;  0.50; WON   0.10"; 
1292017675; "   91,  0.99;  0.01;  0.50; LOST  -0.10"; 
1292017679; "   92,  0.99;  0.01;  0.50; WON   0.10"; 
1292017683; "   93,  0.99;  0.01;  0.50; LOST  -0.10"; 
1292017687; "   94,  0.99;  0.01;  0.50; LOST  -0.10"; 
1292017691; "   95,  0.99;  0.01;  0.50; LOST  -0.10"; 
1292017695; "   96,  0.99;  0.01;  0.50; LOST  -0.10"; 
1292017699; "   97,  0.99;  0.01;  0.50; LOST  -0.10"; 
1292017703; "   98,  0.99;  0.01;  0.50; WON   0.10"; 
1292017707; "   99,  0.99;  0.01;  0.50; LOST  -0.10"; 
1292017711; "  100,  0.99;  0.01;  0.50; WON   0.10"; 
1292017715; "  101,  0.99;  0.01;  0.50; LOST  -0.10"; 
1292017719; "  102,  0.99;  0.01;  0.50; WON   0.10"; 
1292017723; "  103,  0.99;  0.01;  0.50; LOST  -0.25"; 
1292017727; "  104,  0.99;  0.01;  0.50; WON   0.10"; 
1292017731; "  105,  0.99;  0.01;  0.50; LOST  -0.10"; 
1292017735; "  106,  0.99;  0.01;  0.50; LOST  -0.10"; 
1292017739; "  107,  0.99;  0.01;  0.50; LOST  -0.10"; 
1292017743; "  108,  0.99;  0.01;  0.50; LOST  -0.10"; 
1292017747; "  109,  0.99;  0.01;  0.50; LOST  -0.10"; 
1292017751; "  110,  0.99;  0.01;  0.50; LOST  -0.25"; 
1292017755; "  111,  0.99;  0.01;  0.50; LOST  -0.25"; 
1292017758; "  112,  0.99;  0.01;  0.50; LOST  -0.10"; 
1292017762; "  113,  0.99;  0.01;  0.50; LOST  -0.10"; 
1292017766; "  114,  0.99;  0.01;  0.50; LOST  -0.25"; 
1292017770; "  115,  0.99;  0.01;  0.50; LOST  -0.10"; 
1292017774; "  116,  0.99;  0.01;  0.50; WON   0.10"; 
1292017777; "  117,  0.99;  0.01;  0.50; LOST  -0.10"; 
1292017781; "  118,  0.99;  0.01;  0.50; WON   0.10"; 
