1292020707;870;" ""  870,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292020711;871;" ""  871,  0.99";  0.01;  0.50;" WON   0.10"""; ;;;
1292020715;872;" ""  872,  0.99";  0.01;  0.50;" WON   0.10"""; ;;;
1292020718;873;" ""  873,  0.99";  0.01;  0.50;" WON   0.25"""; ;5;5;1
1292020722;874;" ""  874,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292020727;875;" ""  875,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292020732;876;" ""  876,  0.99";  0.01;  0.50;" WON   0.10"""; ;;;
1292020736;877;" ""  877,  0.99";  0.01;  0.50;" WON   0.10"""; ;;;
1292020739;878;" ""  878,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292020743;879;" ""  879,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292021124;980;" ""  980,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292021127;981;" ""  981,  0.99";  0.01;  0.50;" WON   0.10"""; ;;;
1292021131;982;" ""  982,  0.99";  0.01;  0.50;" WON   0.10"""; ;;;
1292021135;983;" ""  983,  0.99";  0.01;  0.50;" WON   0.10"""; ;4;6;0,666666667
1292021139;984;" ""  984,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292021142;985;" ""  985,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292021146;986;" ""  986,  0.99";  0.01;  0.50;" LOST   0.00"""; ;;;
1292021150;987;" ""  987,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292021154;988;" ""  988,  0.99";  0.01;  0.50;" WON   0.10"""; ;;;
1292021157;989;" ""  989,  0.99";  0.01;  0.50;" LOST   0.00"""; ;;;
1292021540;1090;" "" 1090,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292021543;1091;" "" 1091,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292021547;1092;" "" 1092,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292021551;1093;" "" 1093,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;1;9;0,111111111
1292021554;1094;" "" 1094,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292021558;1095;" "" 1095,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292021562;1096;" "" 1096,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292021566;1097;" "" 1097,  0.99";  0.01;  0.50;" WON   0.10"""; ;;;
1292021569;1098;" "" 1098,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292021573;1099;" "" 1099,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292021952;1200;" "" 1200,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292021956;1201;" "" 1201,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292021959;1202;" "" 1202,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292021963;1203;" "" 1203,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;0;10;0
1292021967;1204;" "" 1204,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292021970;1205;" "" 1205,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292021974;1206;" "" 1206,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292021978;1207;" "" 1207,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292021982;1208;" "" 1208,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292021985;1209;" "" 1209,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292022366;1310;" "" 1310,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292022369;1311;" "" 1311,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292022373;1312;" "" 1312,  0.99";  0.01;  0.50;" WON   0.10"""; ;;;
1292022377;1313;" "" 1313,  0.99";  0.01;  0.50;" WON   0.10"""; ;3;7;0,428571429
1292022380;1314;" "" 1314,  0.99";  0.01;  0.50;" WON   0.10"""; ;;;
1292022384;1315;" "" 1315,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292022388;1316;" "" 1316,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292022392;1317;" "" 1317,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292022395;1318;" "" 1318,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292022399;1319;" "" 1319,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292022779;1420;" "" 1420,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292022783;1421;" "" 1421,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292022786;1422;" "" 1422,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292022790;1423;" "" 1423,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;0;10;0
1292022794;1424;" "" 1424,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292022798;1425;" "" 1425,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
