time (seconds); Text; 
1292109094; "   89,  0.90;  0.01;  0.05; LOST  -0.25"; 
1292109097; "   90,  0.90;  0.01;  0.05; WON   0.10"; 
1292109101; "   91,  0.90;  0.01;  0.05; WON   0.25"; 
1292109105; "   92,  0.90;  0.01;  0.05; WON   0.10"; 
1292109108; "   93,  0.90;  0.01;  0.05; LOST  -0.25"; 
1292109112; "   94,  0.90;  0.01;  0.05; LOST  -0.10"; 
1292109116; "   95,  0.90;  0.01;  0.05; LOST  -0.25"; 
1292109119; "   96,  0.90;  0.01;  0.05; LOST  -0.10"; 
1292109123; "   97,  0.90;  0.01;  0.05; WON   0.10"; 
1292109126; "   98,  0.90;  0.01;  0.05; LOST  -0.10"; 
1292109130; "   99,  0.90;  0.01;  0.05; LOST  -0.40"; 
1292109134; "  100,  0.90;  0.01;  0.05; LOST  -0.10"; 
1292109138; "  101,  0.90;  0.01;  0.05; LOST  -0.40"; 
1292109141; "  102,  0.90;  0.01;  0.05; LOST  -0.10"; 
1292109145; "  103,  0.90;  0.01;  0.05; WON   0.10"; 
1292109149; "  104,  0.90;  0.01;  0.05; LOST   0.00"; 
1292109152; "  105,  0.90;  0.01;  0.05; LOST  -0.10"; 
1292109156; "  106,  0.90;  0.01;  0.05; LOST  -0.40"; 
1292109160; "  107,  0.90;  0.01;  0.05; LOST  -0.25"; 
1292109163; "  108,  0.90;  0.01;  0.05; WON   0.10"; 
1292109167; "  109,  0.90;  0.01;  0.05; LOST  -0.10"; 
1292109171; "  110,  0.90;  0.01;  0.05; LOST  -0.10"; 
1292109175; "  111,  0.90;  0.01;  0.05; LOST  -0.40"; 
1292109178; "  112,  0.90;  0.01;  0.05; LOST  -0.40"; 
1292109182; "  113,  0.90;  0.01;  0.05; LOST  -0.40"; 
1292109185; "  114,  0.90;  0.01;  0.05; LOST  -0.55"; 
1292109189; "  115,  0.90;  0.01;  0.05; WON   0.10"; 
1292109193; "  116,  0.90;  0.01;  0.05; WON   0.10"; 
1292109196; "  117,  0.90;  0.01;  0.05; LOST  -0.25"; 
1292109200; "  118,  0.90;  0.01;  0.05; LOST  -0.55"; 
1292109204; "  119,  0.90;  0.01;  0.05; LOST  -0.40"; 
1292109208; "  120,  0.90;  0.01;  0.05; LOST  -0.55"; 
1292109211; "  121,  0.90;  0.01;  0.05; LOST  -0.40"; 
1292109215; "  122,  0.90;  0.01;  0.05; LOST  -0.40"; 
1292109219; "  123,  0.90;  0.01;  0.05; LOST  -0.40"; 
1292109222; "  124,  0.90;  0.01;  0.05; WON   0.25"; 
1292109226; "  125,  0.90;  0.01;  0.05; LOST  -0.25"; 
1292109230; "  126,  0.90;  0.01;  0.05; LOST  -0.25"; 
1292109233; "  127,  0.90;  0.01;  0.05; WON   0.10"; 
1292109237; "  128,  0.90;  0.01;  0.05; LOST  -0.10"; 
1292109240; "  129,  0.90;  0.01;  0.05; WON   0.10"; 
1292109244; "  130,  0.90;  0.01;  0.05; LOST  -0.25"; 
1292109248; "  131,  0.90;  0.01;  0.05; LOST  -0.40"; 
1292109252; "  132,  0.90;  0.01;  0.05; LOST  -0.10"; 
1292109255; "  133,  0.90;  0.01;  0.05; LOST  -0.55"; 
1292109259; "  134,  0.90;  0.01;  0.05; LOST  -0.10"; 
1292109263; "  135,  0.90;  0.01;  0.05; LOST  -0.10"; 
1292109266; "  136,  0.90;  0.01;  0.05; LOST  -0.25"; 
1292109270; "  137,  0.90;  0.01;  0.05; LOST  -0.10"; 
1292109274; "  138,  0.90;  0.01;  0.05; LOST  -0.10"; 
1292109278; "  139,  0.90;  0.01;  0.05; LOST  -0.55"; 
1292109281; "  140,  0.90;  0.01;  0.05; LOST   0.00"; 
1292109285; "  141,  0.90;  0.01;  0.05; LOST  -0.10"; 
1292109289; "  142,  0.90;  0.01;  0.05; LOST  -0.25"; 
1292109292; "  143,  0.90;  0.01;  0.05; LOST  -0.55"; 
1292109296; "  144,  0.90;  0.01;  0.05; LOST  -0.40"; 
1292109300; "  145,  0.90;  0.01;  0.05; LOST  -0.55"; 
1292109304; "  146,  0.90;  0.01;  0.05; LOST  -0.55"; 
1292109308; "  147,  0.90;  0.01;  0.05; LOST  -0.10"; 
1292109312; "  148,  0.90;  0.01;  0.05; LOST  -0.25"; 
1292109315; "  149,  0.90;  0.01;  0.05; LOST  -0.25"; 
1292109319; "  150,  0.90;  0.01;  0.05; LOST  -0.55"; 
1292109323; "  151,  0.90;  0.01;  0.05; LOST  -0.40"; 
1292109326; "  152,  0.90;  0.01;  0.05; LOST  -0.40"; 
1292109330; "  153,  0.90;  0.01;  0.05; WON   0.10"; 
1292109334; "  154,  0.90;  0.01;  0.05; LOST  -0.25"; 
1292109337; "  155,  0.90;  0.01;  0.05; LOST  -0.25"; 
1292109341; "  156,  0.90;  0.01;  0.05; LOST  -0.10"; 
1292109344; "  157,  0.90;  0.01;  0.05; WON   0.10"; 
1292109348; "  158,  0.90;  0.01;  0.05; WON   0.10"; 
1292109352; "  159,  0.90;  0.01;  0.05; LOST  -0.25"; 
1292109355; "  160,  0.90;  0.01;  0.05; WON   0.10"; 
1292109359; "  161,  0.90;  0.01;  0.05; LOST  -0.25"; 
1292109363; "  162,  0.90;  0.01;  0.05; LOST  -0.40"; 
1292109366; "  163,  0.90;  0.01;  0.05; LOST  -0.10"; 
1292109370; "  164,  0.90;  0.01;  0.05; LOST  -0.40"; 
1292109374; "  165,  0.90;  0.01;  0.05; LOST  -0.25"; 
1292109378; "  166,  0.90;  0.01;  0.05; LOST  -0.40"; 
1292109382; "  167,  0.90;  0.01;  0.05; LOST  -0.10"; 
1292109386; "  168,  0.90;  0.01;  0.05; LOST  -0.40"; 
1292109390; "  169,  0.90;  0.01;  0.05; LOST  -0.55"; 
1292109394; "  170,  0.90;  0.01;  0.05; LOST  -0.10"; 
1292109398; "  171,  0.90;  0.01;  0.05; LOST  -0.40"; 
1292109402; "  172,  0.90;  0.01;  0.05; LOST  -0.25"; 
1292109405; "  173,  0.90;  0.01;  0.05; LOST  -0.25"; 
1292109409; "  174,  0.90;  0.01;  0.05; LOST  -0.10"; 
1292109413; "  175,  0.90;  0.01;  0.05; LOST  -0.10"; 
1292109417; "  176,  0.90;  0.01;  0.05; WON   0.10"; 
1292109421; "  177,  0.90;  0.01;  0.05; WON   0.10"; 
1292109425; "  178,  0.90;  0.01;  0.05; WON   0.10"; 
1292109428; "  179,  0.90;  0.01;  0.05; LOST  -0.10"; 
1292109432; "  180,  0.90;  0.01;  0.05; WON   0.10"; 
1292109436; "  181,  0.90;  0.01;  0.05; LOST  -0.55"; 
1292109440; "  182,  0.90;  0.01;  0.05; LOST  -0.10"; 
1292109444; "  183,  0.90;  0.01;  0.05; WON   0.10"; 
1292109448; "  184,  0.90;  0.01;  0.05; LOST  -0.10"; 
1292109452; "  185,  0.90;  0.01;  0.05; LOST  -0.25"; 
1292109456; "  186,  0.90;  0.01;  0.05; LOST  -0.40"; 
1292109460; "  187,  0.90;  0.01;  0.05; LOST  -0.10"; 
1292109463; "  188,  0.90;  0.01;  0.05; LOST  -0.10"; 
1292109467; "  189,  0.90;  0.01;  0.05; LOST  -0.40"; 
1292109470; "  190,  0.90;  0.01;  0.05; LOST  -0.10"; 
1292109474; "  191,  0.90;  0.01;  0.05; WON   0.10"; 
1292109478; "  192,  0.90;  0.01;  0.05; LOST  -0.10"; 
1292109481; "  193,  0.90;  0.01;  0.05; WON   0.10"; 
1292109485; "  194,  0.90;  0.01;  0.05; LOST  -0.10"; 
